fecha,noreste_dioxido_de_nitrogeno,suroeste_dioxido_de_nitrogeno,noroeste_dioxido_de_nitrogeno,sureste_dioxido_de_nitrogeno,centro_dioxido_de_nitrogeno
2012-11-30,17.705555555555556,17.320833333333333,16.769444444444446,15.730555555555556,18.216666666666665
2012-12-31,21.962365591397848,19.530913978494624,22.13978494623656,17.4502688172043,21.612903225806452
2013-01-31,20.76478494623656,19.419354838709676,20.393817204301076,18.016129032258064,21.337365591397848
2013-02-28,19.160714285714285,16.013392857142858,17.71875,14.998511904761905,18.23565660489707
2013-03-31,17.81989247311828,15.55241935483871,17.297043010752688,14.31989247311828,17.662634408602152
2013-04-30,20.480555555555554,17.494444444444444,19.825,15.056944444444444,20.2
2013-05-31,18.283602150537636,16.43010752688172,18.190860215053764,15.448924731182796,19.137096774193548
2013-06-30,16.841666666666665,15.454166666666667,16.72222222222222,15.008333333333333,17.59861111111111
2013-07-31,16.912634408602152,15.614247311827956,16.68548387096774,14.244623655913978,17.477150537634408
2013-08-31,14.236559139784946,13.596774193548388,14.868279569892474,13.358870967741936,15.436567462976022
2013-09-30,15.481944444444444,13.85138888888889,15.975,12.811111111111112,15.7625
2013-10-31,15.647849462365592,15.21505376344086,16.262096774193548,14.330645161290322,16.623655913978496
2013-11-30,18.620833333333334,17.355555555555554,19.259722222222223,16.529166666666665,19.879166666666666
2013-12-31,18.037634408602152,16.813172043010752,18.77016129032258,14.799731182795698,18.642473118279568
2014-01-31,19.434139784946236,19.329301075268816,21.63037634408602,16.947580645161292,20.00182962162746
2014-02-28,18.634184580443378,18.641369047619047,20.00291239661068,16.32282806199891,19.986194162175096
2014-03-31,16.956989247311828,15.66263440860215,18.146505376344088,13.708333333333334,17.142212624266346
2014-04-30,16.555555555555557,16.170833333333334,18.211111111111112,14.656944444444445,18.210223942348378
2014-05-31,16.69109144900262,16.947580645161292,18.381662809841902,15.49051136782697,18.36301574660282
2014-06-30,15.598611111111111,14.8625,16.79722222222222,13.440277777777778,16.195833333333333
2014-07-31,15.520623758220296,15.125,16.427304114307468,14.123455838922265,16.64979160478942
2014-08-31,14.662215258376076,13.837348855102002,15.424500701733209,12.93919600894229,14.964532775414408
2014-09-30,12.432900211433056,12.695833333333333,13.481706280679873,11.631613653684811,13.323458205453688
2014-10-31,14.505723195009308,14.865591397849462,15.788920874358036,13.791546621632929,15.783714671334
2014-11-30,17.37293904746368,17.17222222222222,19.584543599398792,15.448363018041386,19.80995476520138
2014-12-31,17.771086226118012,16.741935483870968,18.911059841518156,15.41903471861971,19.665174607428302
2015-01-31,18.46936057312588,17.541915400315958,20.749596658140643,16.209117209197395,20.032335132892005
2015-02-28,18.18826802704442,16.496417453746332,18.581653856498708,15.358320836043797,18.45614385332712
2015-03-31,15.941785150849194,13.88384418966858,17.560253389905252,12.81419600894229,16.300927295600342
2015-04-30,17.846550158574793,15.417763942439878,19.331765821621012,13.888640795819164,18.615510320756933
2015-05-31,17.127615872740225,15.056683610256666,17.336376636926172,14.824828652080596,18.1733516443537
2015-06-30,15.997266983816253,14.864402938430748,17.301031643242037,13.702281591638327,17.3143539748472
2015-07-31,15.66133364025229,14.549415503963031,16.49831019238476,13.507504305971588,16.682387231694648
2015-08-31,14.903384741097684,13.655615035957798,16.1978781564455,12.914802385498964,16.152929860017895
2015-09-30,15.144130793417743,14.710802203823057,15.347648732431526,12.01179706963578,16.747571036690957
2015-10-31,13.89800839701166,13.929526378103915,15.864544823112167,13.066644090917825,16.164914113415076
2015-11-30,16.397147512942674,16.896913314934167,18.4198114137126,14.863434051594393,18.912463365832156
2015-12-31,17.814024679503397,16.992947154763957,19.49878056446584,15.23983111263579,19.71083807973899
2016-01-31,19.917056835261597,18.377637963155472,21.657497955534716,17.143216979132387,21.914541098605486
2016-02-29,18.433954351074284,17.26489959148008,20.374630435537732,15.910406244223557,20.339561583175268
2016-03-31,16.193938555691705,14.661240113693106,17.910186127577724,13.436227731820559,17.92529378677753
2016-04-30,17.767428253502153,15.102159963201673,18.75501968708527,13.789533498568602,18.365975406715247
2016-05-31,16.64555145891751,15.651831511542568,18.192444192093856,14.774937409239913,18.85271314161624
2016-06-30,15.025403174214759,13.181892561927324,15.732192331830323,12.647990878436799,15.964470246336777
2016-07-31,15.056841781498157,13.356132586811388,15.601046342631491,12.373055688809805,16.351369055594734
2016-08-31,14.860258371435084,13.7827555318147,14.923041375180464,12.851670357499456,16.63217051329299
2016-09-30,12.236514285325873,12.649948117482877,13.915525665163655,12.060490878436799,14.721414690781227
2016-10-31,12.674817818138983,13.056102461478863,14.381028986920061,12.822924355901646,15.06676038142469
2016-11-30,16.390800422866114,16.035218977591704,17.632132790889173,15.417352625191334,18.352973686589092
2016-12-31,16.552925140408068,16.485430314821034,18.541205704541692,15.519521050142645,19.037338462168428
2017-01-31,18.93318586751966,17.286240113693108,20.53115386951321,15.698324506014107,20.411852926562474
2017-02-28,16.402729704688287,14.649929588012478,17.03585229161099,13.673265398513433,17.53104692161579
2017-03-31,16.844360573125876,14.741619805038297,17.031211489778833,12.519641095176382,17.828034057623185
2017-04-30,16.595564443900663,13.950205142253806,16.583402597895777,12.875437865454943,17.11470278931594
2017-05-31,16.56010803841331,14.354506294548905,16.207113897799168,13.284185951345465,17.36809614425512
2017-06-30,14.503061481118959,13.185784909650682,15.316249880078669,12.868865560615086,16.27785741509951
2017-07-31,15.966788018057294,13.75129387713397,16.208573224351927,13.913298239432475,16.710240023336667
2017-08-31,13.636258473741403,12.965269024498456,15.64066807013309,12.420058684551247,15.273897601953381
2017-09-30,13.55445037000785,13.035784909650685,12.610694324523118,12.091087782837308,15.418098558709445
2017-10-31,13.090024781809715,14.09481548615739,16.211030915332447,13.024617289149944,16.835092050119812
2017-11-30,17.348342221678443,16.87604539325609,18.518124820118004,15.5434934210105,19.66192501153816
2017-12-31,18.760145621668748,17.14187523320592,20.366416901480363,16.962989407216927,21.596105232305074
2018-01-31,15.599852534186326,14.74188527498343,17.96394956843794,14.56929224794959,17.99787443193882
2018-02-28,14.666970634532223,13.837448117482877,16.925148681036667,12.79551071970664,16.8944305637971
2018-03-31,15.216137633882363,12.598316804331644,16.44764767538301,13.159105921322974,17.296486570305746
2018-04-30,16.09496708953278,13.557166880870623,16.075912561359743,14.124338418480733,18.03302752201849
2018-05-31,14.33879631276264,12.608521816317573,15.059792427780279,12.99231920962257,16.19579263948921
2018-06-30,14.101478412076949,13.071861432417048,16.449285508706282,12.002884852473088,16.550930171916626
2018-07-31,14.251965488565292,12.160426967561865,14.928945711613185,13.583997164163657,16.410135825731377
2018-08-31,14.211758524894561,12.257466631055385,15.193029804706178,13.303043170657787,16.147145048701784
